index,index,create_age(months),expiry_age(months),update_age(days),URL,num_domain_periods,domain_length,num_domain_terms,Has_Sensitive_words,Has_IP,Num_Periods,Has_sus_char,URL_Length,num_slashes,sus_files,Label,URLNet_Prediction,predict
360.0,360.0,224.0,4.0,283.0,http://www.physics.org/...,1.0,10.0,2.0,0.0,0.0,2.0,0.0,26.0,3.0,0.0,0.0,0,
4473.0,4473.0,205.0,11.0,15.0,http://www.iacm-india.com/...,1.0,13.0,2.0,0.0,0.0,2.0,1.0,29.0,3.0,0.0,0.0,0,
4100.0,4100.0,-1.0,-1.0,-1.0,http://www.nrm.se/...,1.0,5.0,2.0,0.0,0.0,2.0,0.0,21.0,3.0,0.0,0.0,1,
2157.0,2157.0,210.0,6.0,195.0,http://www.rheinreport.com/...,1.0,14.0,2.0,0.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,0,
1129.0,1129.0,112.0,44.0,885.0,http://greenislandtlc.com/form2/css/Billing/information/verification/s...,1.0,17.0,2.0,0.0,0.0,1.0,0.0,73.0,8.0,1.0,1.0,0,
3560.0,3560.0,11.0,1.0,331.0,http://chrisandclairegethitched.com/wp-yeye/6027d625ceb16c55fb90fc8fd5...,1.0,27.0,2.0,0.0,0.0,1.0,1.0,73.0,4.0,0.0,1.0,1,
1539.0,1539.0,20.0,4.0,223.0,http://www.overlapsistem.com/online/index.php?.rand=13inboxlight.aspx?...,1.0,16.0,2.0,0.0,0.0,5.0,0.0,73.0,4.0,1.0,1.0,1,
3250.0,3250.0,-1.0,-1.0,-1.0,https://resolutionservicehelp.gq/webapps/5f344/websrc...,1.0,23.0,2.0,0.0,0.0,1.0,0.0,56.0,5.0,0.0,1.0,0,
4689.0,4689.0,14.0,-2.0,8.0,http://www.aircashng.com/creat/zzz/d529300367bd826ef3ee4201eb45d722/...,1.0,12.0,2.0,0.0,0.0,2.0,0.0,71.0,6.0,0.0,1.0,1,
2661.0,2661.0,192.0,11.0,46.0,http://redsfury.blogspot.com/...,2.0,19.0,3.0,0.0,0.0,2.0,0.0,32.0,3.0,0.0,0.0,1,
490.0,490.0,118.0,62.0,32.0,http://www.chloeandme.com/...,1.0,13.0,2.0,0.0,0.0,2.0,0.0,29.0,3.0,0.0,0.0,1,
